"goods_nomenclature_item_id","code","geographical_area_id","additional_code_sid","condition_count"
"0708200000","C678","KE",,2
"0708200010","C678","DO",,2
"0708200010","C678","KH",,2
"0709300000","C678","DO",,2
"0709400020","C678","KH",,2
"0709601000","C678","DO",,2
"0709601000","C678","EG",,2
"0709601000","C678","TR",,2
"0709609920","C678","DO",,2
"0709609920","C678","EG",,2
"0709609920","C678","IN",,2
"0709609920","C678","PK",,2
"0709609920","C678","TH",,2
"0709609920","C678","UG",,2
"0709609920","C678","VN",,2
"0709999020","C678","IN",,2
"0709999020","C678","VN",,2
"0709999040","C678","VN",,2
"0709999072","C678","VN",,2
"0710220010","C678","DO",,2
"0710220010","C678","KH",,2
"0710805100","C678","DO",,2
"0710805100","C678","EG",,2
"0710805100","C678","TR",,2
"0710805920","C678","DO",,2
"0710805920","C678","EG",,2
"0710805920","C678","IN",,2
"0710805920","C678","PK",,2
"0710805920","C678","TH",,2
"0710805920","C678","UG",,2
"0710805920","C678","VN",,2
"0710809530","C678","IN",,2
"0710809530","C678","VN",,2
"0801210000","C678","BR",,2
"0802210000","C678","AZ",,2
"0802210000","C678","GE",,2
"0802210000","C678","TR",,2
"0802220000","C678","AZ",,2
"0802220000","C678","GE",,2
"0802220000","C678","TR",,2
"0802510000","C678","IR",,2
"0802510000","C678","TR",,2
"0802510000","C678","US",,2
"0802520000","C678","IR",,2
"0802520000","C678","TR",,2
"0802520000","C678","US",,2
"0804209000","C678","TR",,2
"0805100000","C678","TR",,2
"0805210000","C678","TR",,2
"0805220000","C678","TR",,2
"0805290000","C678","TR",,2
"0806200000","C678","TR",,2
"0810902010","C678","VN",,2
"0810902020","C678","MY",,2
"0810907530","C678","TR",,2
"0813100000","C678","UZ",,2
"0813409510","C678","CN",,2
"0813503120","C678","BR",,2
"0813503920","C678","BR",,2
"0813503960","C678","IR",,2
"0813503960","C678","TR",,2
"0813503970","C678","AZ",,2
"0813503970","C678","TR",,2
"0813509120","C678","BR",,2
"0813509160","C678","IR",,2
"0813509160","C678","TR",,2
"0813509170","C678","AZ",,2
"0813509170","C678","TR",,2
"0813509920","C678","BR",,2
"0813509950","C678","TR",,2
"0813509960","C678","IR",,2
"0813509960","C678","TR",,2
"0813509970","C678","AZ",,2
"0813509970","C678","TR",,2
"0902000000","C678","CN",,2
"0904000000","C678","ET",,2
"0904110010","C678","BR",,2
"0904211000","C678","IN",,2
"0904211000","C678","LK",,2
"0904219020","C678","IN",,2
"0904219020","C678","LK",,2
"0904220011","C678","CN",,2
"0904220011","C678","IN",,2
"0904220011","C678","LK",,2
"0904220019","C678","IN",,2
"0904220019","C678","LK",,2
"0908110000","C678","ID",,2
"0908110000","C678","IN",,2
"0908120000","C678","ID",,2
"0908120000","C678","IN",,2
"0910000000","C678","ET",,2
"0910911000","C678","PK",,2
"0910919000","C678","PK",,2
"1106309040","C678","AZ",,2
"1106309040","C678","GE",,2
"1106309040","C678","TR",,2
"1106309050","C678","IR",,2
"1106309050","C678","TR",,2
"1106309060","C678","TR",,2
"1202410000","C678","AR",,2
"1202410000","C678","BO",,2
"1202410000","C678","BR",,2
"1202410000","C678","CN",,2
"1202410000","C678","EG",,2
"1202410000","C678","GH",,2
"1202410000","C678","GM",,2
"1202410000","C678","IN",,2
"1202410000","C678","MG",,2
"1202410000","C678","SD",,2
"1202410000","C678","SN",,2
"1202410000","C678","US",,2
"1202420000","C678","AR",,2
"1202420000","C678","BO",,2
"1202420000","C678","BR",,2
"1202420000","C678","CN",,2
"1202420000","C678","EG",,2
"1202420000","C678","GH",,2
"1202420000","C678","GM",,2
"1202420000","C678","IN",,2
"1202420000","C678","MG",,2
"1202420000","C678","SD",,2
"1202420000","C678","SN",,2
"1202420000","C678","US",,2
"1207409000","C678","ET",,2
"1207409000","C678","IN",,2
"1207409000","C678","NG",,2
"1207409000","C678","SD",,2
"1207409000","C678","UG",,2
"1207700010","C678","NG",,2
"1207700010","C678","SL",,2
"1208900010","C678","NG",,2
"1208900010","C678","SL",,2
"1208900020","C678","AR",,2
"1208900020","C678","BO",,2
"1208900020","C678","BR",,2
"1208900020","C678","CN",,2
"1208900020","C678","EG",,2
"1208900020","C678","GH",,2
"1208900020","C678","GM",,2
"1208900020","C678","IN",,2
"1208900020","C678","MG",,2
"1208900020","C678","SD",,2
"1208900020","C678","SN",,2
"1208900020","C678","US",,2
"1210100090","C001","Whole world",,2
"1210201090","C001","Whole world",,2
"1210201099","C001","Whole world",,2
"1210209090","C001","Whole world",,2
"1210209099","C001","Whole world",,2
"1211908610","C678","IN",,2
"1211908620","C678","VN",,2
"1211908630","C678","VN",,2
"1212999520","C678","TR",,2
"1302130010","C001","Whole world",,2
"1302130090","C001","Whole world",,2
"1302329010","C678","IN",,2
"1404900010","C678","IN",,2
"1511109000","C678","GH",,2
"1511901100","C678","GH",,2
"1511901990","C678","GH",,2
"1511909900","C678","GH",,2
"1515909920","C678","AZ",,2
"1515909920","C678","TR",,2
"1704900000","C678","Whole world",,2
"1704900000","Y937","Whole world",,2
"1806000000","C678","Whole world",,2
"1806000000","Y937","Whole world",,2
"1905000000","C678","Whole world",,2
"1905000000","Y937","Whole world",,2
"2001909711","C678","LB",,2
"2001909711","C678","SY",,2
"2001909719","C678","LB",,2
"2001909719","C678","SY",,2
"2005991010","C678","IN",,2
"2005991010","C678","LK",,2
"2005991090","C678","IN",,2
"2005991090","C678","LK",,2
"2005998093","C678","LB",,2
"2005998093","C678","SY",,2
"2005998094","C678","IN",,2
"2005998094","C678","LK",,2
"2007101050","C678","TR",,2
"2007101060","C678","IR",,2
"2007101060","C678","TR",,2
"2007101070","C678","AZ",,2
"2007101070","C678","TR",,2
"2007109920","C678","TR",,2
"2007109930","C678","IR",,2
"2007109930","C678","TR",,2
"2007109940","C678","AZ",,2
"2007109940","C678","TR",,2
"2007993901","C678","TR",,2
"2007993902","C678","TR",,2
"2007993903","C678","IR",,2
"2007993903","C678","TR",,2
"2007993904","C678","IR",,2
"2007993904","C678","TR",,2
"2007993905","C678","AZ",,2
"2007993905","C678","TR",,2
"2007993906","C678","AZ",,2
"2007993906","C678","TR",,2
"2007995031","C678","TR",,2
"2007995032","C678","IR",,2
"2007995032","C678","TR",,2
"2007995033","C678","AZ",,2
"2007995033","C678","TR",,2
"2007999721","C678","TR",,2
"2007999722","C678","IR",,2
"2007999722","C678","TR",,2
"2007999723","C678","AZ",,2
"2007999723","C678","TR",,2
"2008110000","C678","AR",,2
"2008110000","C678","BO",,2
"2008110000","C678","BR",,2
"2008110000","C678","CN",,2
"2008110000","C678","EG",,2
"2008110000","C678","GH",,2
"2008110000","C678","GM",,2
"2008110000","C678","IN",,2
"2008110000","C678","MG",,2
"2008110000","C678","SD",,2
"2008110000","C678","SN",,2
"2008110000","C678","US",,2
"2008191230","C678","AZ",,2
"2008191230","C678","TR",,2
"2008191320","C678","IR",,2
"2008191320","C678","TR",,2
"2008191320","C678","US",,2
"2008191930","C678","AZ",,2
"2008191930","C678","GE",,2
"2008191930","C678","TR",,2
"2008199230","C678","AZ",,2
"2008199230","C678","TR",,2
"2008199320","C678","IR",,2
"2008199320","C678","TR",,2
"2008199320","C678","US",,2
"2008199520","C678","AZ",,2
"2008199520","C678","GE",,2
"2008199520","C678","TR",,2
"2008199930","C678","AZ",,2
"2008199930","C678","GE",,2
"2008199930","C678","TR",,2
"2008500000","C678","UZ",,2
"2008971211","C678","TR",,2
"2008971215","C678","AZ",,2
"2008971215","C678","TR",,2
"2008971219","C678","IR",,2
"2008971219","C678","TR",,2
"2008971411","C678","TR",,2
"2008971415","C678","AZ",,2
"2008971415","C678","TR",,2
"2008971419","C678","IR",,2
"2008971419","C678","TR",,2
"2008971611","C678","TR",,2
"2008971615","C678","AZ",,2
"2008971615","C678","TR",,2
"2008971619","C678","IR",,2
"2008971619","C678","TR",,2
"2008971811","C678","TR",,2
"2008971815","C678","AZ",,2
"2008971815","C678","TR",,2
"2008971819","C678","IR",,2
"2008971819","C678","TR",,2
"2008973211","C678","TR",,2
"2008973215","C678","AZ",,2
"2008973215","C678","TR",,2
"2008973219","C678","IR",,2
"2008973219","C678","TR",,2
"2008973411","C678","TR",,2
"2008973415","C678","AZ",,2
"2008973415","C678","TR",,2
"2008973419","C678","IR",,2
"2008973419","C678","TR",,2
"2008973611","C678","TR",,2
"2008973615","C678","AZ",,2
"2008973615","C678","TR",,2
"2008973619","C678","IR",,2
"2008973619","C678","TR",,2
"2008973811","C678","TR",,2
"2008973815","C678","AZ",,2
"2008973815","C678","TR",,2
"2008973819","C678","IR",,2
"2008973819","C678","TR",,2
"2008975111","C678","TR",,2
"2008975115","C678","AZ",,2
"2008975115","C678","TR",,2
"2008975119","C678","IR",,2
"2008975119","C678","TR",,2
"2008975911","C678","TR",,2
"2008975915","C678","AZ",,2
"2008975915","C678","TR",,2
"2008975919","C678","IR",,2
"2008975919","C678","TR",,2
"2008977211","C678","TR",,2
"2008977215","C678","AZ",,2
"2008977215","C678","TR",,2
"2008977219","C678","IR",,2
"2008977219","C678","TR",,2
"2008977411","C678","TR",,2
"2008977415","C678","AZ",,2
"2008977415","C678","TR",,2
"2008977419","C678","IR",,2
"2008977419","C678","TR",,2
"2008977611","C678","TR",,2
"2008977615","C678","AZ",,2
"2008977615","C678","TR",,2
"2008977619","C678","IR",,2
"2008977619","C678","TR",,2
"2008977811","C678","TR",,2
"2008977815","C678","AZ",,2
"2008977815","C678","TR",,2
"2008977819","C678","IR",,2
"2008977819","C678","TR",,2
"2008979211","C678","TR",,2
"2008979215","C678","AZ",,2
"2008979215","C678","TR",,2
"2008979219","C678","IR",,2
"2008979219","C678","TR",,2
"2008979311","C678","TR",,2
"2008979315","C678","AZ",,2
"2008979315","C678","TR",,2
"2008979319","C678","IR",,2
"2008979319","C678","TR",,2
"2008979411","C678","TR",,2
"2008979415","C678","AZ",,2
"2008979415","C678","TR",,2
"2008979419","C678","IR",,2
"2008979419","C678","TR",,2
"2008979611","C678","TR",,2
"2008979615","C678","AZ",,2
"2008979615","C678","TR",,2
"2008979619","C678","IR",,2
"2008979619","C678","TR",,2
"2008979711","C678","TR",,2
"2008979715","C678","AZ",,2
"2008979715","C678","TR",,2
"2008979719","C678","IR",,2
"2008979719","C678","TR",,2
"2008979811","C678","TR",,2
"2008979815","C678","AZ",,2
"2008979815","C678","TR",,2
"2008979819","C678","IR",,2
"2008979819","C678","TR",,2
"2008992810","C678","TR",,2
"2008993410","C678","TR",,2
"2008993710","C678","TR",,2
"2008994010","C678","TR",,2
"2008994960","C678","TR",,2
"2008996795","C678","TR",,2
"2008999911","C678","TR",,2
"2008999919","C678","TR",,2
"2008999950","C678","NG",,2
"2008999950","C678","SL",,2
